cod_dep;nom_dep;cod_mun;nom_mun;poblacion
47;Magdalena;47720;Santa Bárbara de Pinto;11470
13;Bolívar;13673;Santa Catalina;15166
68;Santander;68720;Santa Helena del Opón;3449
73;Tolima;73686;Santa Isabel;5689
08;Atlántico;08675;Santa Lucía;17410
15;Boyacá;15690;Santa María;3523
41;Huila;41676;Santa María;10548
47;Magdalena;47001;Santa Marta;546979
13;Bolívar;13683;Santa Rosa;22740
19;Cauca;19701;Santa Rosa;5426
66;Risaralda;66682;Santa Rosa de Cabal;80000
05;Antioquia;05686;Santa Rosa de Osos;38463
15;Boyacá;15693;Santa Rosa de Viterbo;13419
13;Bolívar;13688;Santa Rosa del Sur;35079
99;Vichada;99624;Santa Rosalía;4252
15;Boyacá;15696;Santa Sofía;3235
52;Nariño;52699;Santacruz;11074
05;Antioquia;05042;Santafé de Antioquia;27421
15;Boyacá;15686;Santana;7765
19;Cauca;19698;Santander de Quilichao;113925
54;Norte de Santander;54680;Santiago;3718
86;Putumayo;86760;Santiago;7408
70;Sucre;70820;Santiago de Tolú;34587
05;Antioquia;05690;Santo Domingo;12515
08;Atlántico;08685;Santo Tomás;32574
66;Risaralda;66687;Santuario;12530
52;Nariño;52720;Sapuyes;7230
81;Arauca;81736;Saravena;64520
54;Norte de Santander;54720;Sardinata;27171
25;Cundinamarca;25718;Sasaima;11979
15;Boyacá;15720;Sativanorte;2168
15;Boyacá;15723;Sativasur;1113
05;Antioquia;05736;Segovia;39990
25;Cundinamarca;25736;Sesquilé;13147
76;Valle del Cauca;76736;Sevilla;41374
15;Boyacá;15740;Siachoque;6822
25;Cundinamarca;25740;Sibaté;38114
86;Putumayo;86749;Sibundoy;15687
54;Norte de Santander;54743;Silos;6636
25;Cundinamarca;25743;Silvania;24422
19;Cauca;19743;Silvia;38374
68;Santander;68745;Simacota;10339
25;Cundinamarca;25745;Simijaca;14620
13;Bolívar;13744;Simití;19426
70;Sucre;70001;Sincelejo;298062
27;Chocó;27745;Sipí;3246
47;Magdalena;47745;Sitionuevo;29612
25;Cundinamarca;25754;Soacha;783632
15;Boyacá;15753;Soatá;8894
15;Boyacá;15757;Socha;8143
68;Santander;68755;Socorro;34007
15;Boyacá;15755;Socotá;7262
15;Boyacá;15759;Sogamoso;132059
18;Caquetá;18756;Solano;11625
08;Atlántico;08758;Soledad;677070
18;Caquetá;18785;Solita;6412
15;Boyacá;15761;Somondoco;2900
05;Antioquia;05756;Sonsón;37193
05;Antioquia;05761;Sopetrán;15753
13;Bolívar;13760;Soplaviento;10997
25;Cundinamarca;25758;Sopó;30157
15;Boyacá;15762;Sora;3099
15;Boyacá;15764;Soracá;6111
15;Boyacá;15763;Sotaquirá;8364
19;Cauca;19760;Sotara;14326
68;Santander;68770;Suaita;10270
08;Atlántico;08770;Suan;12797
19;Cauca;19780;Suárez;32792
73;Tolima;73770;Suárez;3783
41;Huila;41770;Suaza;22920
25;Cundinamarca;25769;Subachoque;17408
19;Cauca;19785;Sucre;9748
68;Santander;68773;Sucre;7142
70;Sucre;70771;Sucre;31239
25;Cundinamarca;25772;Suesca;19485
25;Cundinamarca;25777;Supatá;5763
17;Caldas;17777;Supía;29620
68;Santander;68780;Suratá;4031
25;Cundinamarca;25779;Susa;7348
15;Boyacá;15774;Susacón;2723
15;Boyacá;15776;Sutamarchán;6273
25;Cundinamarca;25781;Sutatausa;6697
15;Boyacá;15778;Sutatenza;4252
25;Cundinamarca;25785;Tabio;25172
27;Chocó;27787;Tadó;18058
13;Bolívar;13780;Talaigua Nuevo;13373
20;Cesar;20787;Tamalameque;16525
85;Casanare;85400;Támara;6627
81;Arauca;81794;Tame;50138
05;Antioquia;05789;Támesis;16452
52;Nariño;52786;Taminango;17877
52;Nariño;52788;Tangua;13318
97;Vaupés;97666;Taraira;2534
91;Amazonas;91798;Tarapacá;3970
05;Antioquia;05790;Tarazá;28429
41;Huila;41791;Tarqui;17874
05;Antioquia;05792;Tarso;6328
15;Boyacá;15790;Tasco;5833
85;Casanare;85410;Tauramena;25410
25;Cundinamarca;25793;Tausa;8998
41;Huila;41799;Tello;11897
25;Cundinamarca;25797;Tena;10949
47;Magdalena;47798;Tenerife;13710
25;Cundinamarca;25799;Tenjo;25053
15;Boyacá;15798;Tenza;3848
54;Norte de Santander;54800;Teorama;17915
41;Huila;41801;Teruel;8160
41;Huila;41797;Tesalia;11015
25;Cundinamarca;25805;Tibacuy;4823
15;Boyacá;15804;Tibaná;9184
15;Boyacá;15806;Tibasosa;13493
25;Cundinamarca;25807;Tibirita;3415
54;Norte de Santander;54810;Tibú;59536
23;Córdoba;23807;Tierralta;95973
41;Huila;41807;Timaná;22251
19;Cauca;19807;Timbío;36584
19;Cauca;19809;Timbiquí;26824
15;Boyacá;15808;Tinjacá;3375
15;Boyacá;15810;Tipacoque;3313
13;Bolívar;13810;Tiquisio;19315
05;Antioquia;05809;Titiribí;10885
15;Boyacá;15814;Toca;8956
25;Cundinamarca;25815;Tocaima;17271
25;Cundinamarca;25817;Tocancipá;47539
15;Boyacá;15816;Togüí;4366
05;Antioquia;05819;Toledo;5121
54;Norte de Santander;54820;Toledo;16548
70;Sucre;70823;Tolú Viejo;22596
68;Santander;68820;Tona;7805
15;Boyacá;15820;Tópaga;3724
25;Cundinamarca;25823;Topaipí;4454
19;Cauca;19821;Toribío;36994
76;Valle del Cauca;76823;Toro;14466
15;Boyacá;15822;Tota;5270
19;Cauca;19824;Totoró;25821
85;Casanare;85430;Trinidad;13573
76;Valle del Cauca;76828;Trujillo;19084
08;Atlántico;08832;Tubará;19187
23;Córdoba;23815;Tuchín;55418
76;Valle del Cauca;76834;Tuluá;220032
15;Boyacá;15001;Tunja;180568
15;Boyacá;15832;Tununguá;1587
52;Nariño;52838;Túquerres;44565
13;Bolívar;13836;Turbaco;115116
13;Bolívar;13838;Turbaná;17669
05;Antioquia;05837;Turbo;132236
15;Boyacá;15835;Turmequé;6200
15;Boyacá;15837;Tuta;8523
15;Boyacá;15839;Tutazá;2053
25;Cundinamarca;25839;Ubalá;8098
25;Cundinamarca;25841;Ubaque;7348
76;Valle del Cauca;76845;Ulloa;5410
15;Boyacá;15842;Úmbita;7605
25;Cundinamarca;25845;Une;7664
27;Chocó;27800;Unguía;12926
27;Chocó;27810;Unión Panamericana;7040
05;Antioquia;05842;Uramita;7006
50;Meta;50370;Uribe;9560
44;La Guajira;44847;Uribia;194450
05;Antioquia;05847;Urrao;31355
44;La Guajira;44855;Urumita;11517
08;Atlántico;08849;Usiacurí;13380
25;Cundinamarca;25851;Útica;4610
05;Antioquia;05854;Valdivia;14321
23;Córdoba;23855;Valencia;36640
68;Santander;68855;Valle de San José;6406
73;Tolima;73854;Valle de San Juan;5375
86;Putumayo;86865;Valle del Guamuez;35140
20;Cesar;20001;Valledupar;544134
05;Antioquia;05856;Valparaíso;6572
18;Caquetá;18860;Valparaíso;7122
05;Antioquia;05858;Vegachí;12226
68;Santander;68861;Vélez;25498
73;Tolima;73861;Venadillo;12759
05;Antioquia;05861;Venecia;11897
25;Cundinamarca;25506;Venecia;4626
15;Boyacá;15861;Ventaquemada;16210
